step,total_loss,yolo_loss,sa_loss,ca_loss
0,6.852110862731934,0.89501953125,0.5978782176971436,-0.04338154196739197
1,6.994399070739746,0.880859375,0.6135560274124146,-0.04404069110751152
2,6.977672576904297,0.861328125,0.6138717532157898,-0.04474623501300812
3,7.0197601318359375,0.81005859375,0.623295247554779,-0.046501949429512024
4,7.1602888107299805,0.77685546875,0.6407375931739807,-0.04788520932197571
5,7.155002117156982,0.73046875,0.6447896957397461,-0.04672759026288986
6,7.205021858215332,0.69580078125,0.6533807516098022,-0.04917318373918533
7,7.171472549438477,0.64599609375,0.6549813747406006,-0.04867420345544815
8,7.2892680168151855,0.673828125,0.663983941078186,-0.04879870265722275
9,7.42808723449707,0.61328125,0.6840721368789673,-0.05183009058237076
10,7.199648857116699,0.5048828125,0.6720043420791626,-0.0505545437335968
11,7.370654582977295,0.422607421875,0.6974530220031738,-0.05296618863940239
12,7.278276443481445,0.350341796875,0.69538414478302,-0.051812972873449326
13,7.128437042236328,0.23583984375,0.69181889295578,-0.05118405073881149
14,7.217696189880371,0.154052734375,0.709087610244751,-0.05446498841047287
15,7.184363842010498,0.102294921875,0.7108486890792847,-0.05283675715327263
16,7.372290134429932,0.09332275390625,0.7306336164474487,-0.05473842844367027
17,7.3822455406188965,0.06854248046875,0.7341257929801941,-0.0551096573472023
18,7.4922380447387695,0.0548095703125,0.7465088367462158,-0.055319976061582565
19,7.318994998931885,0.053985595703125,0.7292238473892212,-0.05445802956819534
20,7.339531898498535,0.046722412109375,0.7319747805595398,-0.05387663096189499
21,7.368002414703369,0.04486083984375,0.7350108623504639,-0.053934525698423386
22,7.322088718414307,0.047607421875,0.7301512956619263,-0.05406283587217331
23,7.30286979675293,0.06634521484375,0.7263152003288269,-0.05325523763895035
24,7.449710845947266,0.06805419921875,0.7409647703170776,-0.05598285794258118
25,7.277174949645996,0.03704833984375,0.7266968488693237,-0.053683869540691376
26,7.493570327758789,0.03607177734375,0.7486410140991211,-0.05782299488782883
27,7.419313430786133,0.02801513671875,0.7419435977935791,-0.056275658309459686
28,7.482961177825928,0.0279083251953125,0.7485071420669556,-0.06003619357943535
29,7.484595775604248,0.059661865234375,0.7453088164329529,-0.056308403611183167
30,7.504786014556885,0.02685546875,0.7506383657455444,-0.05690653249621391
31,7.640385627746582,0.0224609375,0.7647538185119629,-0.059226833283901215
32,7.55005407333374,0.027801513671875,0.7551977038383484,-0.05944940447807312
33,7.511870861053467,0.015899658203125,0.7524277567863464,-0.0566132627427578
34,7.748297214508057,0.0115966796875,0.7766970992088318,-0.06054079160094261
35,7.622405529022217,0.00919342041015625,0.7643061876296997,-0.05969879776239395
36,7.734527111053467,0.00885009765625,0.7755603790283203,-0.059853650629520416
37,7.664349555969238,0.006717681884765625,0.7687262296676636,-0.05926116555929184
38,7.667661190032959,0.007404327392578125,0.7689418196678162,-0.05832306668162346
39,7.5568366050720215,0.0083770751953125,0.7576813101768494,-0.05670779570937157
40,7.627687454223633,0.00815582275390625,0.7648846507072449,-0.05863003432750702
41,7.5320281982421875,0.006439208984375,0.7553900480270386,-0.0566239170730114
42,7.742186069488525,0.00482940673828125,0.7767373919487,-0.060034748166799545
43,7.552243232727051,0.00359344482421875,0.757758617401123,-0.05787278339266777
44,7.627495765686035,0.0050201416015625,0.7652151584625244,-0.059352293610572815
45,7.52381706237793,0.003551483154296875,0.7548871040344238,-0.057211004197597504
46,7.472754955291748,0.0030994415283203125,0.7497143149375916,-0.054975688457489014
47,8.020501136779785,0.0021495819091796875,0.8050018548965454,-0.0633331909775734
48,7.534151554107666,0.002010345458984375,0.7560872435569763,-0.057463061064481735
49,7.597871780395508,0.001972198486328125,0.7625157237052917,-0.05851535499095917
50,7.561503887176514,0.001949310302734375,0.7587367296218872,-0.055624961853027344
51,7.7549729347229,0.0017547607421875,0.7782913446426392,-0.059390291571617126
52,7.4346137046813965,0.0016422271728515625,0.7460638284683228,-0.05533323809504509
53,7.694441318511963,0.0014667510986328125,0.7722172141075134,-0.05839570611715317
54,7.650894641876221,0.0014324188232421875,0.7678253650665283,-0.057582687586545944
55,7.675472736358643,0.0013303756713867188,0.7702993154525757,-0.05770222097635269
56,7.5833353996276855,0.0014047622680664062,0.761037290096283,-0.05688501521945
57,7.765765190124512,0.0014104843139648438,0.7794278860092163,-0.05984918028116226
58,7.609587669372559,0.0013456344604492188,0.7637261748313904,-0.05803953856229782
59,7.599083423614502,0.0012693405151367188,0.7626962661743164,-0.058297425508499146
60,7.567035675048828,0.0014104843139648438,0.7594224214553833,-0.057197727262973785
61,7.737816333770752,0.001239776611328125,0.7766169309616089,-0.059185586869716644
62,7.475164413452148,0.0010242462158203125,0.7502724528312683,-0.05716899037361145
63,7.648719310760498,0.0009508132934570312,0.7676331996917725,-0.05712730437517166
64,7.594902515411377,0.0009255409240722656,0.7623075842857361,-0.05819819122552872
65,7.547532558441162,0.0009002685546875,0.7575235366821289,-0.05720650777220726
66,7.685124397277832,0.0008625984191894531,0.7713121175765991,-0.05771937966346741
67,7.684032917022705,0.0008296966552734375,0.7711359858512878,-0.05631392449140549
68,7.736941814422607,0.0008168220520019531,0.7766265869140625,-0.06028196960687637
69,7.546863555908203,0.0007977485656738281,0.7573963403701782,-0.055795103311538696
70,7.719932556152344,0.0007700920104980469,0.7749132513999939,-0.05993988737463951
71,7.670106887817383,0.0007381439208984375,0.7698790431022644,-0.05884356424212456
72,7.774955749511719,0.000720977783203125,0.7804450988769531,-0.0604325607419014
73,7.4418044090271,0.0006985664367675781,0.7469022274017334,-0.05583265423774719
74,7.7954912185668945,0.0006771087646484375,0.7824448347091675,-0.05926893651485443
75,7.7007293701171875,0.0006513595581054688,0.7729977369308472,-0.05979904159903526
76,7.75582218170166,0.0006165504455566406,0.778451144695282,-0.0586114339530468
77,7.528514862060547,0.0005793571472167969,0.7555608153343201,-0.05534566193819046
78,7.674050807952881,0.000583648681640625,0.7702507376670837,-0.058080654591321945
79,7.542880058288574,0.00055694580078125,0.7570845484733582,-0.05704529583454132
80,7.573355674743652,0.0005273818969726562,0.7600877285003662,-0.05609763786196709
81,7.536863803863525,0.0005192756652832031,0.756446123123169,-0.05623341724276543
82,7.665065765380859,0.0005235671997070312,0.7694305181503296,-0.059526704251766205
83,7.670526027679443,0.0004973411560058594,0.7698376178741455,-0.05669529363512993
84,7.716773986816406,0.0004878044128417969,0.7747502326965332,-0.06243208050727844
85,7.732146739959717,0.0004897117614746094,0.7760404348373413,-0.05749553442001343
86,7.696728229522705,0.0004839897155761719,0.7725502252578735,-0.05851566046476364
87,7.616307735443115,0.0004820823669433594,0.7645847201347351,-0.06004298850893974
88,7.849812984466553,0.00047659873962402344,0.788026750087738,-0.06186226010322571
89,7.521993160247803,0.00046563148498535156,0.75495445728302,-0.05603338032960892
90,7.79237174987793,0.0004425048828125,0.7821416258811951,-0.05897422879934311
91,7.816902160644531,0.0004355907440185547,0.7847554683685303,-0.06217583641409874
92,7.545955181121826,0.0004355907440185547,0.7575005292892456,-0.058972232043743134
93,7.48673152923584,0.00041413307189941406,0.7514192461967468,-0.0557500422000885
94,7.629299640655518,0.0004239082336425781,0.7657672166824341,-0.057592447847127914
95,7.644021987915039,0.0004012584686279297,0.7672795057296753,-0.058349788188934326
96,7.702338695526123,0.0003936290740966797,0.773190975189209,-0.05992989242076874
97,7.6494927406311035,0.0003800392150878906,0.7678154706954956,-0.05808478221297264
98,7.580739974975586,0.00037860870361328125,0.7609536051750183,-0.058349184691905975
99,7.763156414031982,0.0003829002380371094,0.7793580293655396,-0.06161339208483696
